Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.13072916666665624,0.060630042989420034,0.07528422619046876,0.017762686956720834,0.020034947691194373,0.0037356118665115264,0.08638440224400001,0.047726124987617316
100,0.28971840659340625,0.07478193192325136,0.1790321137195625,0.021947126327589654,0.062377065336608736,0.006059172781408458,0.2083169642856625,0.06307722588339318
150,0.4196899107836263,0.06014698995023445,0.2760559150654688,0.02169043388131849,0.12513624158184,0.007318208412625914,0.3079856150792625,0.05374040883249827
200,0.5015919362660938,0.05023212389459873,0.3327801098432582,0.018996046120855842,0.17303498305314752,0.007116071044245509,0.3754289321788625,0.046517371809121265
250,0.5739882226787255,0.04033857772809616,0.3798380286431769,0.017040844993352504,0.21884182701402125,0.0079177847426357,0.4391917977854625,0.03599511317673864
300,0.6210393235957813,0.03432512128992818,0.40490382253061935,0.012387090655105156,0.2522772105355075,0.008062768574924785,0.4823373293372938,0.03324135154802258
350,0.6642488998568064,0.02596714297882165,0.43005077897245003,0.012153658204429044,0.2821065739221169,0.008316949229411263,0.5218953060827876,0.02772112858476606
400,0.7013127019310874,0.02140957959950079,0.4512593397401375,0.011100068081759146,0.3148606651765063,0.008393981393822764,0.5488100452448063,0.02558417426432582
450,0.7294977157277187,0.017563114908953868,0.4630365733652875,0.010501158574295105,0.35536780963394377,0.008726808586722314,0.5770542479160937,0.022479852243348482
500,0.7513527497517187,0.015176218643579898,0.4817252937030062,0.01034190756996076,0.39074102619770623,0.009326910012382042,0.5977687705687937,0.02093262039872893
550,0.7699836691102124,0.013302168192328549,0.4892844643817938,0.00909866836647048,0.423125,0.009384833333333351,0.6166883358622249,0.018200839590279686
600,0.7876436088833374,0.011110078401843587,0.5028637925838813,0.009216417173540978,0.4390000000000001,0.007739666666666656,0.6373698558869625,0.01675310332988176
650,0.8040515887006439,0.009840962144040072,0.5144604095483499,0.008558743887995959,0.45425,0.008256666666666667,0.6537119186874626,0.015054100397906141
700,0.8230935154040188,0.0089806730749901,0.5299647105220937,0.008989462790959387,0.45825,0.008958000000000016,0.6663009604165688,0.01337680066557859
750,0.8432644768877937,0.008307526511002479,0.5470819811845311,0.008534699489320756,0.4685,0.008815000000000007,0.6790922157287,0.011273263079775669
800,0.86344698140065,0.007685812414217069,0.5599415158293126,0.008303210319777534,0.468,0.008327333333333338,0.6925508073826687,0.010865876040180616
850,0.8863661754912124,0.006796541318088602,0.5768694591555563,0.008759258842434956,0.47,0.008375666666666661,0.7034310436485812,0.009962168546588532
900,0.9080118198937562,0.006067682240072342,0.5905987759677562,0.007891100653108439,0.474625,0.008405833333333348,0.7131371798574188,0.009151509766609008
950,0.9289838003747626,0.004852544424614417,0.6008423327664437,0.007802491721073177,0.470125,0.008677833333333341,0.7220488479326812,0.008613278245114327
1000,0.9461665664704813,0.0032418255120211853,0.609125,0.00801050000000003,0.4700000000000001,0.00860933333333334,0.7312862669364062,0.008286185050178722
1050,0.9593413052721064,0.0020127213360901187,0.614375,0.008147833333333335,0.4695,0.008553000000000009,0.74158190449175,0.007812711420759169
1100,0.968487244897956,0.0014445974593924286,0.62075,0.007957999999999995,0.4655,0.008894666666666658,0.7493942929258374,0.0070466938271667124
1150,0.975375,0.0010238333333333694,0.6256250000000001,0.007774500000000018,0.4596250000000001,0.008854166666666658,0.757368351060975,0.006596100515028536
1200,0.9791249999999998,0.0008298333333333829,0.626375,0.007234166666666664,0.45625,0.008181999999999991,0.7649378564687,0.0061774575797246215
1250,0.98325,0.0005773333333333615,0.6322500000000001,0.007378999999999997,0.45799999999999996,0.008735333333333333,0.7712528676804874,0.0056295929660817035
1300,0.985625,0.00041983333333335554,0.6337499999999999,0.007210333333333377,0.456625,0.008135833333333344,0.7770153530391876,0.005274326693495048
1350,0.986875,0.0003511666666666713,0.6330000000000001,0.007184666666666695,0.452875,0.009088500000000013,0.7827717424939625,0.0049680273747657105
1400,0.988125,0.0002951666666666597,0.6380000000000001,0.007468666666666669,0.455125,0.009947500000000014,0.7877747168784438,0.004897897931542031
1450,0.98975,0.0002469999999999691,0.636625,0.008113833333333353,0.455,0.010298333333333316,0.7933784186524875,0.0045137046316349955
1500,0.990625,0.0002191666666666828,0.642125,0.007807500000000018,0.4545,0.010636333333333355,0.7978185059039686,0.004263885829961418
1550,0.991375,0.00020249999999997213,0.648875,0.00860916666666665,0.45,0.01134833333333333,0.8032109583109687,0.004498247972571352
1600,0.99225,0.000183999999999962,0.6481250000000001,0.008788833333333367,0.449875,0.012187499999999988,0.8070772888188937,0.003866448680324387
1650,0.993,0.00015566666666663544,0.6447499999999999,0.009185333333333368,0.446125,0.011095166666666665,0.8128575084683126,0.004041851772248984
1700,0.9934999999999998,0.0001406666666666112,0.6496250000000001,0.00957783333333338,0.4440000000000001,0.010567000000000005,0.8156430764465312,0.003622813895038822
1750,0.9940000000000001,0.0001293333333333043,0.6485,0.009920999999999996,0.44925,0.010434333333333335,0.8200436406914436,0.0032814497524532977
1800,0.994625,0.00011549999999998545,0.6601250000000001,0.0095985,0.448125,0.009886166666666672,0.8234760418920312,0.0034581903468940923
