it,GG_mean,DG_mean,DG_CL_mean,CL_mean,GG_avar,DG_avar,DG_CL_avar,CL_avar,simulation,network_size
853.125,0.7895,0.976,0.9790000000000001,0.7109999999999999,0.008151428571428572,0.0012285714285714285,0.0011828571428571433,0.009891428571428572,4.5,8.0
856.25,0.783,0.9754999999999999,0.9780000000000001,0.716,0.007537142857142858,0.0013342857142857145,0.0012342857142857142,0.011365714285714285,4.5,8.0
859.375,0.7875,0.9765,0.982,0.7254999999999999,0.007642857142857143,0.0012142857142857142,0.0008571428571428573,0.009505714285714286,4.5,8.0
862.5,0.7874999999999999,0.976,0.984,0.7299999999999999,0.008197142857142858,0.0011028571428571433,0.0008285714285714287,0.009428571428571429,4.5,8.0
865.625,0.7964999999999998,0.9785,0.985,0.73,0.008139999999999998,0.0009685714285714291,0.0006742857142857146,0.007708571428571428,4.5,8.0
868.75,0.7895,0.9775,0.9854999999999998,0.7375,0.00815142857142857,0.00098,0.0005857142857142864,0.006214285714285716,4.5,8.0
871.875,0.7974999999999999,0.977,0.9844999999999999,0.734,0.008579999999999999,0.0009428571428571431,0.0006942857142857148,0.0064571428571428575,4.5,8.0
875.0,0.7935000000000001,0.9790000000000001,0.985,0.732,0.008288571428571426,0.00092,0.0005828571428571432,0.006697142857142858,4.5,8.0
878.125,0.7889999999999999,0.983,0.984,0.7384999999999999,0.00802285714285714,0.0008000000000000004,0.0007485714285714288,0.005248571428571429,4.5,8.0
881.25,0.7899999999999998,0.982,0.9844999999999999,0.7364999999999999,0.006617142857142858,0.0008114285714285717,0.0006885714285714288,0.008134285714285714,4.5,8.0
884.375,0.7805,0.9814999999999999,0.9829999999999999,0.7344999999999998,0.007477142857142854,0.0008314285714285722,0.0008114285714285715,0.0072428571428571455,4.5,8.0
887.5,0.7849999999999999,0.9814999999999999,0.983,0.736,0.00949142857142857,0.0008314285714285718,0.0008628571428571426,0.006577142857142856,4.5,8.0
890.625,0.7674999999999998,0.982,0.983,0.7230000000000001,0.008717142857142857,0.0007314285714285715,0.0008171428571428571,0.007039999999999999,4.5,8.0
893.75,0.7665,0.9804999999999999,0.9844999999999999,0.7314999999999999,0.009734285714285713,0.0007285714285714286,0.0007514285714285714,0.009071428571428569,4.5,8.0
