,,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
max_avg_bet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_avg_bet,50,0.12190476190472502,0.05192192932727317,0.0034102182539687497,0.0004456658242003349,0.0026215277777768753,0.0002625868055553773,0.097400793650775,0.020821727765164787
max_avg_bet,100,0.34595541611168745,0.06331520453798567,0.03175304971623187,0.0023749797234220377,0.04785797278057376,0.004923927367377618,0.34832628309184377,0.027154489240660058
max_avg_bet,150,0.49199009987153186,0.045039697446081065,0.07407070391538562,0.004262052639763023,0.08483909589890125,0.0064617294603946645,0.5139694971888875,0.015743971414877534
max_avg_bet,200,0.5904026337729624,0.02727084417513954,0.12795590281715374,0.005165310061528229,0.12532774199383875,0.006861763489725528,0.6136676984947562,0.0071462473427285535
max_avg_bet,250,0.6586450979194625,0.021418932613277215,0.1666024531319394,0.005255939361178033,0.16270916034730187,0.0077113628568919405,0.6840720092676562,0.004207754414145525
max_avg_bet,300,0.7027305325963562,0.01774707312854946,0.19833471584170875,0.005901215403281925,0.19538010096472685,0.007405241724469634,0.7296721699253749,0.002826538716457871
max_avg_bet,350,0.7410956903386251,0.014100423287939723,0.2298497229211,0.00641720868020257,0.23015902180628625,0.00750619380946659,0.762213893509025,0.002068350853773081
max_avg_bet,400,0.7667330087982,0.011503443288462404,0.2667798411565606,0.0076930362530052395,0.26565926122036754,0.00767511393045568,0.7880437330119625,0.0016650371486928606
max_avg_bet,450,0.7898756763654313,0.008910272492703666,0.3115451295423438,0.0097579831968184,0.3092685604707125,0.009481874933608612,0.8101808554314125,0.0013293143257268152
max_avg_bet,500,0.8079866301663063,0.007571916489741379,0.3608425470558188,0.010237144281193771,0.34932076507680004,0.010299386846860659,0.8302489298583436,0.0016649412539143545
max_avg_bet,550,0.8219936034062499,0.006576100557108795,0.4053750000000001,0.009819833333333338,0.3934388297872312,0.010382144786480904,0.8563172589815125,0.0023727162502673
max_avg_bet,600,0.8368069839656874,0.005397088513800117,0.44262500000000005,0.009325833333333314,0.4305,0.009880999999999997,0.886922914676125,0.0028396186009409874
max_avg_bet,650,0.8509418963984625,0.004572931900824587,0.479375,0.009506500000000006,0.45874999999999994,0.009517999999999997,0.9182546314760188,0.0027708235037988633
max_avg_bet,700,0.8648221121505625,0.004183597056090586,0.5090000000000001,0.009896000000000025,0.476375,0.009963833333333328,0.9425933549424063,0.0020857608247263925
