,,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
max_avg_bet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_avg_bet,50,0.14000496031743126,0.06083934791508457,0.006110729548225625,0.0011398095083405466,0.0,0.0,0.102656249999975,0.02324843454741473
max_avg_bet,100,0.3538879870129569,0.06592812039411303,0.03282679059310188,0.0025435520842381184,0.01313286410979125,0.0008760118751658172,0.34506191724935,0.024980654683895393
max_avg_bet,150,0.49532015453479994,0.040910315810803885,0.08777112200870688,0.004411996934383452,0.023481445166419375,0.0013189938411439126,0.5117902744883437,0.013607637027375562
max_avg_bet,200,0.5968398681320124,0.02783010532314441,0.12277212977174187,0.005099321807668887,0.035577376692009374,0.0014105326030548538,0.6139168718122625,0.00828717292450112
max_avg_bet,250,0.6666170633497125,0.020928196552469542,0.16321283690614063,0.005659658228586348,0.04711501517574812,0.0014818377431637035,0.6742114369781562,0.006789810058990486
max_avg_bet,300,0.7134361755328875,0.015779105826566733,0.2004761701094319,0.005417932756711575,0.054841342704008755,0.0016416927310794218,0.7223041947291624,0.003911080265630969
max_avg_bet,350,0.7485809783570312,0.012683950975472747,0.23601708193796309,0.005721217427952995,0.07104424000800626,0.0017467815396501705,0.7559189215201001,0.002800664635684906
max_avg_bet,400,0.7759565879627,0.010132415498488308,0.2732670467558943,0.006855532987211717,0.08222227812125812,0.0019775237472005863,0.7827809428287937,0.002029517860761191
max_avg_bet,450,0.7971539429595375,0.008768439275408067,0.320039721272175,0.008935541386890119,0.09589951484276751,0.002237540632003694,0.8019316392712437,0.0019210914503478803
max_avg_bet,500,0.8156125863989875,0.007453852389772042,0.3693111461224187,0.009693417642127635,0.1136586852228569,0.0026713841157561756,0.8241315373520999,0.0020295584780267955
max_avg_bet,550,0.8317818531857561,0.0063643236100437055,0.418875,0.010758833333333327,0.12276817602040813,0.002635337722780449,0.851195950955575,0.002791640706032415
max_avg_bet,600,0.8456180487355812,0.005433742373067372,0.45412500000000006,0.009987166666666634,0.13624999999999998,0.0026763333333333326,0.8782944424715563,0.003358459880194917
max_avg_bet,650,0.8586926864084188,0.004751644818479796,0.48637500000000006,0.009879499999999994,0.143875,0.0030204999999999993,0.9074414847274624,0.0030023665230928267
max_avg_bet,700,0.8721701940341624,0.004221992752029197,0.502,0.00909566666666665,0.156375,0.0033758333333333322,0.9361937591969374,0.00210694974357222
max_avg_bet,750,0.8894256051392562,0.0036951392015220816,0.523125,0.008842833333333334,0.167125,0.0032945000000000014,0.9543311011904748,0.0013035761940194015
max_avg_bet,800,0.9094010479541377,0.0034328396550611256,0.544625,0.008942166666666663,0.17575000000000002,0.0035899999999999994,0.966625,0.0007681666666666824
max_avg_bet,850,0.927899073548925,0.002874658429226476,0.560375,0.008141833333333338,0.17975000000000002,0.003418333333333331,0.9733750000000001,0.0005601666666666343
max_avg_bet,900,0.9449606132163,0.002267663814177882,0.5752499999999999,0.008594999999999993,0.18875000000000003,0.0032709999999999996,0.9774999999999998,0.00045500000000005286
max_avg_bet,950,0.9589182994497625,0.0016317598270373184,0.58475,0.008252333333333339,0.196625,0.0038055000000000007,0.9796249999999999,0.0004231666666667048
max_avg_bet,1000,0.9685629604608688,0.0011085520147858339,0.59975,0.006620333333333323,0.20374999999999996,0.004178999999999999,0.98125,0.00041533333333333645
max_avg_bet,1050,0.9756521054158126,0.000889352679084432,0.6043750000000001,0.005217499999999978,0.209375,0.0041375000000000006,0.9824999999999999,0.0004476666666666181
