,,cc_mean,cc_var,wc
max_avg_bet,5900,19.81875,20.024583333333332,151.6
max_avg_bet,5950,19.88125,20.204583333333332,152.1
max_avg_bet,6000,19.90625,20.149583333333332,152.2
max_avg_bet,6050,19.95625,20.144583333333333,152.9
max_avg_bet,6100,20.0,20.061666666666664,153.6
max_avg_bet,6150,20.04375,20.170416666666664,153.5
max_avg_bet,6200,20.0625,20.179166666666667,153.5
max_avg_bet,6250,20.1375,20.593333333333334,154.2
max_avg_bet,6300,20.15625,20.379583333333336,154.6
max_avg_bet,6350,20.2,20.54083333333333,154.6
max_avg_bet,6400,20.21875,20.680416666666666,154.6
max_avg_bet,6450,20.2375,20.486666666666665,154.7
max_avg_bet,6500,20.28125,20.377916666666664,154.6
max_avg_bet,6550,20.2875,20.476666666666667,154.6
max_avg_bet,6600,20.33125,20.576249999999998,154.6
max_avg_bet,6650,20.34375,20.236250000000002,154.9
max_avg_bet,6700,20.3125,20.133333333333333,154.8
max_avg_bet,6750,20.3375,20.1375,155.5
max_avg_bet,6800,20.35625,20.05875,155.5
max_avg_bet,6850,20.40625,20.165416666666665,155.6
max_avg_bet,6900,20.46875,19.916249999999998,156.4
max_avg_bet,6950,20.48125,20.146250000000002,156.5
max_avg_bet,7000,20.5,20.121666666666666,156.5
max_avg_bet,7050,20.5375,20.199166666666667,157.1
max_avg_bet,7100,20.575,20.336666666666666,157.2
max_avg_bet,7150,20.56875,20.405416666666667,157.5
max_avg_bet,7200,20.625,20.247500000000002,158.4
max_avg_bet,7250,20.65625,19.907916666666665,158.9
max_avg_bet,7300,20.7,19.827500000000004,159.2
max_avg_bet,7350,20.73125,19.769583333333337,159.5
max_avg_bet,7400,20.75,19.686666666666667,159.7
max_avg_bet,7450,20.74375,19.34791666666667,159.7
max_avg_bet,7500,20.76875,19.13875,159.7
max_avg_bet,7550,20.7625,19.1475,159.7
max_avg_bet,7600,20.81875,19.60625,160.2
max_avg_bet,7650,20.84375,19.791249999999998,160.4
max_avg_bet,7700,20.88125,19.712083333333332,160.8
max_avg_bet,7750,20.93125,19.677083333333336,160.9
max_avg_bet,7800,21.01875,20.142083333333332,161.7
max_avg_bet,7850,21.06875,20.24958333333333,161.8
max_avg_bet,7900,21.0875,20.125,161.9
max_avg_bet,7950,21.06875,20.003750000000004,162.0
max_avg_bet,8000,21.06875,20.225416666666668,161.7
max_avg_bet,8050,21.1,20.379166666666666,161.9
max_avg_bet,8100,21.10625,20.152083333333334,162.0
max_avg_bet,8150,21.1375,20.1475,162.3
max_avg_bet,8200,21.20625,20.466250000000002,162.8
max_avg_bet,8250,21.2375,20.785000000000004,163.0
max_avg_bet,8300,21.34375,21.38625,163.9
max_avg_bet,8350,21.3875,21.241666666666667,164.0
max_avg_bet,8400,21.39375,21.389583333333334,163.6
max_avg_bet,8450,21.41875,21.279583333333335,163.9
max_avg_bet,8500,21.45625,21.647083333333335,164.4
max_avg_bet,8550,21.4875,21.76583333333333,164.8
max_avg_bet,8600,21.5125,21.59166666666667,165.0
max_avg_bet,8650,21.53125,21.44125,165.4
max_avg_bet,8700,21.56875,21.227916666666665,165.8
max_avg_bet,8750,21.5875,21.579166666666666,165.7
max_avg_bet,8800,21.61875,21.560416666666665,166.2
max_avg_bet,8850,21.6625,21.615833333333335,166.7
max_avg_bet,8900,21.725,22.031666666666666,167.6
max_avg_bet,8950,21.70625,21.85708333333333,167.0
max_avg_bet,9000,21.725,21.669166666666666,166.8
max_avg_bet,9050,21.74375,21.42041666666667,166.9
max_avg_bet,9100,21.7625,21.390833333333337,166.8
max_avg_bet,9150,21.78125,21.25541666666667,167.1
max_avg_bet,9200,21.80625,21.554583333333333,167.7
max_avg_bet,9250,21.81875,21.626249999999995,167.5
max_avg_bet,9300,21.8875,21.781666666666666,168.2
max_avg_bet,9350,21.88125,21.749583333333334,168.2
max_avg_bet,9400,21.85,21.670833333333334,168.0
max_avg_bet,9450,21.88125,21.797083333333333,168.0
max_avg_bet,9500,21.9375,22.173333333333332,168.6
max_avg_bet,9550,21.96875,22.198749999999997,169.1
max_avg_bet,9600,22.0125,22.503333333333334,169.4
max_avg_bet,9650,22.00625,22.521250000000002,169.1
max_avg_bet,9700,21.9875,22.311666666666667,168.8
max_avg_bet,9750,21.95,21.822499999999998,167.8
max_avg_bet,9800,21.94375,21.722083333333337,168.1
max_avg_bet,9850,21.9625,21.8225,168.2
max_avg_bet,9900,22.0,21.668333333333333,168.4
max_avg_bet,9950,22.01875,21.71708333333333,168.2
max_avg_bet,10000,22.08125,21.78291666666667,168.7
max_avg_bet,10050,22.6375,20.06833333333333,170.2
max_avg_bet,10100,23.0875,20.630833333333335,173.5
max_avg_bet,10150,23.6,20.601666666666667,176.8
max_avg_bet,10200,24.11875,20.58291666666667,181.5
max_avg_bet,10250,24.675,20.08666666666667,185.2
max_avg_bet,10300,25.15625,19.651249999999997,188.7
max_avg_bet,10350,25.6375,19.034166666666664,192.6
max_avg_bet,10400,26.15,19.535833333333333,197.9
max_avg_bet,10450,26.55625,19.75541666666667,201.2
max_avg_bet,10500,26.875,19.8425,203.9
max_avg_bet,10550,27.2625,20.000833333333333,207.6
max_avg_bet,10600,27.6625,19.633333333333333,210.6
max_avg_bet,10650,28.00625,19.523749999999996,214.3
max_avg_bet,10700,28.31875,19.642916666666668,216.8
max_avg_bet,10750,28.51875,19.45125,218.5
max_avg_bet,10800,28.84375,20.563750000000006,220.5
max_avg_bet,10850,29.08125,20.334583333333335,222.8
max_avg_bet,10900,29.2625,20.875,224.4
max_avg_bet,10950,29.425,21.808333333333334,225.5
max_avg_bet,11000,29.60625,21.840416666666663,227.2
max_avg_bet,11050,29.74375,22.627916666666664,227.5
max_avg_bet,11100,29.89375,22.221250000000005,227.9
max_avg_bet,11150,29.975,22.633333333333333,229.2
max_avg_bet,11200,30.1,22.35,229.7
max_avg_bet,11250,30.19375,22.75208333333333,230.5
max_avg_bet,11300,30.30625,23.05708333333333,231.8
max_avg_bet,11350,30.39375,23.340416666666663,231.9
max_avg_bet,11400,30.4625,23.095000000000002,232.5
max_avg_bet,11450,30.50625,23.55125,232.1
max_avg_bet,11500,30.575,23.8725,232.4
max_avg_bet,11550,30.65625,23.647083333333335,232.6
max_avg_bet,11600,30.6875,23.793333333333333,232.3
max_avg_bet,11650,30.7625,23.826666666666664,233.2
max_avg_bet,11700,30.83125,23.993750000000002,233.8
max_avg_bet,11750,30.90625,23.36375,235.3
max_avg_bet,11800,30.95625,23.353749999999998,235.3
max_avg_bet,11850,31.00625,23.20125,235.9
max_avg_bet,11900,31.075,23.553333333333335,236.1
max_avg_bet,11950,31.15,24.07,236.9
max_avg_bet,12000,31.21875,24.841249999999995,237.2
max_avg_bet,12050,31.2375,24.90916666666667,237.4
max_avg_bet,12100,31.375,25.169999999999998,239.1
max_avg_bet,12150,31.39375,25.17375,239.2
max_avg_bet,12200,31.4375,25.19833333333333,239.2
max_avg_bet,12250,31.4875,25.070833333333333,239.3
max_avg_bet,12300,31.5,24.753333333333334,239.9
max_avg_bet,12350,31.575,25.0625,240.4
max_avg_bet,12400,31.5625,25.359999999999996,240.4
max_avg_bet,12450,31.60625,25.183749999999996,240.9
max_avg_bet,12500,31.65625,25.02958333333333,241.5
max_avg_bet,12550,31.69375,25.022083333333335,241.7
max_avg_bet,12600,31.725,24.619166666666665,242.6
max_avg_bet,12650,31.7625,24.307499999999997,243.4
max_avg_bet,12700,31.83125,24.362083333333334,243.9
max_avg_bet,12750,31.85,24.473333333333336,244.7
max_avg_bet,12800,31.88125,24.20291666666667,245.2
max_avg_bet,12850,31.9125,24.08416666666667,245.9
max_avg_bet,12900,31.9375,24.0225,246.6
max_avg_bet,12950,31.94375,23.967916666666667,246.7
max_avg_bet,13000,32.0375,23.82916666666667,247.9
max_avg_bet,13050,32.06875,24.149583333333332,247.9
max_avg_bet,13100,32.1,24.542499999999997,247.8
max_avg_bet,13150,32.0875,24.227500000000003,247.4
max_avg_bet,13200,32.14375,24.37208333333333,247.8
max_avg_bet,13250,32.21875,24.50208333333333,248.6
max_avg_bet,13300,32.275,24.553333333333335,249.4
max_avg_bet,13350,32.29375,24.88875,249.7
max_avg_bet,13400,32.3375,24.944166666666664,250.4
max_avg_bet,13450,32.3125,24.740000000000002,249.8
max_avg_bet,13500,32.3375,24.659166666666668,250.8
max_avg_bet,13550,32.34375,24.90458333333333,251.3
max_avg_bet,13600,32.39375,25.372083333333332,251.6
max_avg_bet,13650,32.375,25.553333333333335,251.5
max_avg_bet,13700,32.33125,25.201249999999998,250.8
max_avg_bet,13750,32.325,24.84333333333333,251.0
max_avg_bet,13800,32.33125,24.699583333333333,251.0
max_avg_bet,13850,32.3125,24.59,251.1
max_avg_bet,13900,32.30625,24.20125,251.5
max_avg_bet,13950,32.3,24.03083333333333,251.8
max_avg_bet,14000,32.34375,24.22958333333333,252.3
max_avg_bet,14050,32.35625,24.234583333333337,252.4
max_avg_bet,14100,32.41875,24.474583333333335,253.0
max_avg_bet,14150,32.4625,24.69,252.7
max_avg_bet,14200,32.51875,24.63041666666667,253.6
max_avg_bet,14250,32.55625,24.802916666666665,253.9
max_avg_bet,14300,32.5875,24.919999999999998,254.5
max_avg_bet,14350,32.63125,25.109583333333333,254.4
max_avg_bet,14400,32.5875,25.460833333333333,254.4
max_avg_bet,14450,32.6,25.96083333333333,254.7
max_avg_bet,14500,32.59375,26.103749999999998,254.8
max_avg_bet,14550,32.65,26.914166666666667,255.6
max_avg_bet,14600,32.6125,27.17666666666667,255.0
max_avg_bet,14650,32.60625,27.080416666666668,255.1
max_avg_bet,14700,32.59375,27.174583333333334,254.8
max_avg_bet,14750,32.59375,27.30625,254.9
max_avg_bet,14800,32.625,27.475,255.4
max_avg_bet,14850,32.66875,27.76708333333333,255.0
