it,GG_mean,DG_mean,DG_CL_mean,CL_mean,GG_avar,DG_avar,DG_CL_avar,CL_avar,simulation,network_size
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,48.0
3.125,0.0036507936507969587,0.08797579096097292,0.14049755799754188,0.0,0.0005888030105671277,0.023761913042180238,0.06387681958226134,0.0,4.5,48.0
6.25,0.03954189213564459,0.2715222133136813,0.32262825137822065,0.0012311820124318753,0.005491356250568894,0.036372358447519446,0.06796796685215624,9.31194183747233e-05,4.5,48.0
9.375,0.08886296067085189,0.40703095280804585,0.4479849067394987,0.002744831219047916,0.009149490721960888,0.028731451609446047,0.052754516929665374,0.00022692747561101485,4.5,48.0
12.5,0.14093233035554958,0.5034939034829979,0.5358065123496587,0.003420974503862083,0.011659640607557352,0.019746982607558992,0.03766345908259821,0.00020928271758244803,4.5,48.0
15.625,0.18975686011532228,0.5743337578999064,0.5982252959126835,0.005263137755145625,0.011931563069189586,0.014331064296384727,0.030835461315802237,0.0003481164357002825,4.5,48.0
18.75,0.2238053285720877,0.6263026367054543,0.6461263706106999,0.0073902122705508345,0.01288377021483531,0.010534167567955879,0.024092656141458814,0.00046313403481270207,4.5,48.0
21.875,0.2590615443640362,0.6667520619651167,0.6823232425069876,0.008274999566194376,0.012837189267494937,0.008042816070232309,0.019290506489904095,0.0005441590995182001,4.5,48.0
25.0,0.2857966951356593,0.6989531779235396,0.7139502550828876,0.010813847407084793,0.012030801724397933,0.005846163281228112,0.015564675097215971,0.0007486045163480631,4.5,48.0
28.125,0.31153659368784686,0.7241582115973313,0.7384149006405478,0.01145696810730625,0.011932161724596563,0.004883724992399327,0.012969779047512443,0.0007611662594044814,4.5,48.0
31.25,0.3317251721976715,0.7456395441132478,0.7583528394005604,0.012767413997858334,0.011728343996367411,0.0038972510827069372,0.01084323899326552,0.0008299244821511493,4.5,48.0
34.375,0.3468552897857848,0.7645214924450228,0.775424537666304,0.013192020106081878,0.01112672925382557,0.0030389532835192303,0.009446131923828462,0.000834550280847728,4.5,48.0
37.5,0.3630126590847856,0.7803180307711314,0.7896660081423834,0.013764915974839795,0.011024666168281535,0.0025531108545986483,0.008262266901140881,0.0008878389618350102,4.5,48.0
40.625,0.377848194438172,0.793325330282346,0.8022472769837833,0.014508506732529337,0.011224513979716464,0.0022685944675614684,0.007361554370122614,0.0009535285803065908,4.5,48.0
43.75,0.39192147554807705,0.8051408749306086,0.8130169016871935,0.015053346688261623,0.011214007858962339,0.0019678873798542815,0.006697084172639598,0.000940264996335019,4.5,48.0
46.875,0.40129213079222914,0.8152869695466354,0.8227264401868833,0.015404281335172982,0.01079243622046008,0.0016392057558689325,0.005908736831067822,0.0009846680921586804,4.5,48.0
50.0,0.4104914114182353,0.8246004733930189,0.8313566778931563,0.01597086036490169,0.010825836904741771,0.0014152086360117117,0.005293944542370579,0.001061808515865108,4.5,48.0
53.125,0.42055534433901876,0.8332162993962646,0.838629205087108,0.01626237770586523,0.011157484661286046,0.001253312172705332,0.0048846470169732325,0.0010798336857508512,4.5,48.0
56.25,0.4279725934641167,0.8398886406872916,0.8453237644222188,0.016807823906615293,0.010900876338213239,0.0011397850802703678,0.00446002853206269,0.0011295732317562828,4.5,48.0
59.375,0.4345144737732708,0.8467731165152375,0.8517078867228394,0.01737487844679171,0.010478327819372137,0.001035175217113421,0.004075484732624275,0.0012186847311773652,4.5,48.0
62.5,0.44082115684417705,0.8524263031525188,0.8575000055822397,0.017753442775598316,0.01046616358358772,0.0009173636740533672,0.00375461639375023,0.0012181347402383325,4.5,48.0
65.625,0.44627716854002086,0.8578426182074249,0.8628675086957042,0.018217432425932316,0.010624673322834384,0.000825436929420318,0.003413170925319496,0.0012781584055937072,4.5,48.0
68.75,0.4531839216320333,0.863420186581175,0.8679668258337416,0.018848211612329233,0.010832223457717035,0.000744758287874328,0.0031316612656123914,0.001308903506645097,4.5,48.0
71.875,0.4591385802345772,0.8679715054998354,0.8725178715094832,0.0193193798485774,0.010822161594449613,0.000668809661460359,0.0028849662518467224,0.0013316556525652383,4.5,48.0
75.0,0.4636125465070375,0.8719559075177479,0.877084064967302,0.01997285099112338,0.01079851814223473,0.0006028843791520187,0.0026866300201753364,0.0014224856368962309,4.5,48.0
78.125,0.46801574433465626,0.8762405218908645,0.8812524188350418,0.020767970210519942,0.01079809083527446,0.0005538276394992123,0.0024938011299221784,0.0015318265050358949,4.5,48.0
81.25,0.4724488244894479,0.8802542324862749,0.8850254785785708,0.021689663707079213,0.01077207500330124,0.0004970984734286146,0.002304773690529573,0.0016088452701868167,4.5,48.0
84.375,0.4782257711900001,0.8838309038946666,0.8885328541937334,0.022491172188899212,0.010609525175815836,0.0004627617691542558,0.0021852308064885403,0.0016686165654809463,4.5,48.0
87.5,0.4824019448567375,0.8872652172497686,0.8917982682991124,0.023222122084352776,0.010513590752784848,0.00042920821906654175,0.0020583546793895634,0.0018060376748211427,4.5,48.0
90.625,0.4873891985937438,0.8906840023296978,0.8949242407148645,0.02372392035748211,0.010479310057638982,0.00039566139096624734,0.0019305183567033279,0.0018185281606345866,4.5,48.0
93.75,0.4900631130127458,0.8935999987073874,0.8978151242455041,0.024222222222215477,0.01020172912086571,0.00036680133243265957,0.0018319511871357878,0.001867301024427968,4.5,48.0
96.875,0.4944415137680084,0.8964302717968208,0.9004637871257586,0.024513888888883378,0.010237098772259437,0.0003473771278694123,0.001743268893572461,0.0018847025216696222,4.5,48.0
100.0,0.49682294311264596,0.8993148966060582,0.9029304554483979,0.024888888888884936,0.01002370772784076,0.0003256130592604843,0.0016604681314510397,0.0018824507486208445,4.5,48.0
103.125,0.5007342208785646,0.9018851270603895,0.9054532690542481,0.02522222222221875,0.010040159141738298,0.00029609523232326286,0.0015668161203892875,0.0019395862884160897,4.5,48.0
106.25,0.5035498309861667,0.9043140093389104,0.9077546904091438,0.025708333333331352,0.009850341773009658,0.00028816606221492545,0.001474258705024111,0.002003630811663202,4.5,48.0
109.375,0.50567017631065,0.9067631098114187,0.9099336231327022,0.026013888888886512,0.009763730439790645,0.0002690986952045095,0.0014089255981907395,0.001987748226951229,4.5,48.0
112.5,0.5086355312459646,0.9089311861157915,0.9119679618735729,0.02613888888888289,0.009807812884365604,0.0002560521143474461,0.001335800430440359,0.001986331757288774,4.5,48.0
115.625,0.5116676513290626,0.9110509218578313,0.9141825300604248,0.02656944444444235,0.009855697433579542,0.0002489249295868923,0.0012678998738586452,0.0020482013396394905,4.5,48.0
118.75,0.5144829500089854,0.9131285299728166,0.9160887798240749,0.026513888888882675,0.009827770271663658,0.00023323062533849698,0.0012221049962932054,0.002065896375097921,4.5,48.0
121.875,0.5174495123837543,0.9151034153982751,0.917887702851975,0.026861111111108598,0.00967589202009676,0.00023053342571780687,0.0011691244001568381,0.002076221434201179,4.5,48.0
125.0,0.5202767549591145,0.9172109425672165,0.9198228379593815,0.027222222222215618,0.009680814668629007,0.00022535516389274806,0.0010978861856528054,0.0021507683215119277,4.5,48.0
128.125,0.5226744832707,0.9196397371815417,0.9217990908757543,0.027347222222219553,0.009667994978243763,0.00025137494389526843,0.0010532980594771685,0.0021036308116633867,4.5,48.0
131.25,0.52664464876845,0.9218330553703769,0.923752028508652,0.027527777777775632,0.009858764377863805,0.00026454657043137325,0.0010116486341959527,0.0020411308116633424,4.5,48.0
134.375,0.5296991387761208,0.9248143977817458,0.9258706665780938,0.027541666666662513,0.009939066853280113,0.0003122719165119815,0.0009783606828293863,0.0020255535855001603,4.5,48.0
137.5,0.5330609973284145,0.9281351157033375,0.9285763263642977,0.027652777777774123,0.009931362656679318,0.000371206461378704,0.000946307567126389,0.0020608333333336057,4.5,48.0
140.625,0.5381309198938728,0.9316070883283958,0.9316511534682895,0.02756944444443899,0.010077935761639926,0.0004269345905812781,0.0009236541466325646,0.00207103033884905,4.5,48.0
143.75,0.5423175510174645,0.9357157918464395,0.9354817711720873,0.027666666666661933,0.01023352109137891,0.00047457058614053043,0.0008819502590844764,0.002018006304176875,4.5,48.0
146.875,0.5473541986541959,0.9400035996843936,0.9400601085687752,0.027958333333329633,0.010383262531512338,0.0005200899507228766,0.0008722625714957915,0.0020397143420022848,4.5,48.0
150.0,0.5525074503144208,0.9444956340540959,0.9450168351956979,0.028041666666662007,0.010571534032637782,0.0005559620410958259,0.000806365442425179,0.0020931816390861112,4.5,48.0
153.125,0.5585739378884896,0.949648370857777,0.9497397493244666,0.028222222222217968,0.010743505925548742,0.0005345391949918884,0.0007748145394493259,0.0021228053585507028,4.5,48.0
156.25,0.5653314279805438,0.9544135457241334,0.954375723333998,0.02813888888888199,0.010826037034053883,0.0005029012923570048,0.0007171717884313698,0.0021353033884937396,4.5,48.0
159.375,0.5713212248181166,0.9588226059922353,0.9585312589583121,0.028277777777772257,0.01092106593945194,0.0004513694930391745,0.0006731575998708622,0.0021460677698968283,4.5,48.0
162.5,0.5761829591820563,0.9630009449772603,0.9626069203147625,0.02866666666666105,0.010909821095099439,0.0003908442431653231,0.000600717164465492,0.0021802876280531333,4.5,48.0
165.625,0.581379043152375,0.9667781672957604,0.966228173919425,0.028874999999990342,0.011009357703287396,0.00032339988373445273,0.0005232191739111576,0.002212302994481383,4.5,48.0
168.75,0.5859885756187625,0.9695760817187644,0.9694087738769893,0.029055555555549967,0.010989246385554752,0.00028002353623022213,0.00046419734717953996,0.0022833924349883634,4.5,48.0
171.875,0.5898684037784376,0.9717719979488081,0.9716683673718164,0.028999999999992115,0.010882891684211601,0.0002475611121728314,0.0004042634388525537,0.0021837864460184644,4.5,48.0
175.0,0.5946297644700043,0.974090538001206,0.973433058611685,0.02899999999999563,0.010922948393927705,0.00021269466703768432,0.00035730892089716953,0.0021744720252168787,4.5,48.0
178.125,0.5972756659631687,0.9756170042419811,0.9752818056305081,0.029166666666663656,0.010875628015781022,0.00018109888812653687,0.0003147024567693518,0.002141749408983752,4.5,48.0
181.25,0.6003616898148166,0.9768697916666433,0.9765575245217978,0.02943055555555062,0.010933346627785922,0.00016707714612950223,0.00028212023504688816,0.0021504275019691927,4.5,48.0
184.375,0.6042043378995541,0.9779271308980121,0.9777998084291143,0.02988888888888197,0.010976407238237614,0.0001577284886909347,0.00026164869020567306,0.002203045705277707,4.5,48.0
187.5,0.6057083333333437,0.9787777777777766,0.9788055555555433,0.029958333333332858,0.010937972813240254,0.0001599054373520999,0.00024977935382114116,0.002294966509063577,4.5,48.0
190.625,0.6080416666666562,0.979569444444433,0.9794583333333247,0.030402777777778566,0.011028177698979987,0.0001517119779351554,0.0002396552403461107,0.00231646375098782,4.5,48.0
193.75,0.6098611111111063,0.9800277777777705,0.9800416666666477,0.030611111111105878,0.010876513002358219,0.0001565918045698812,0.00023809495665804667,0.0023146690307327355,4.5,48.0
196.875,0.6115277777777897,0.9802638888888806,0.9805416666666413,0.030624999999998063,0.010859676910959007,0.0001661918833724171,0.00024267730496423757,0.002237046887314941,4.5,48.0
