it,GG_mean,DG_mean,DG_CL_mean,CL_mean,GG_avar,DG_avar,DG_CL_avar,CL_avar,simulation,network_size
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.0
3.125,0.046077380952362496,0.10862001223413749,0.14619047619045,0.020272817460312502,0.009612838718810673,0.05701861893715704,0.0852060657596231,0.004128788006602594,4.5,8.0
6.25,0.1350189393938975,0.24083630952378748,0.3339351620601263,0.0774097185493975,0.016003329172350898,0.10252957857547088,0.09217571854698774,0.008112116522889977,4.5,8.0
9.375,0.24738184896241378,0.35243470418467504,0.4412078403622163,0.11265356404510377,0.020606807659640115,0.08551947317414124,0.07702355795673556,0.007172205751113608,4.5,8.0
12.5,0.291940362175865,0.42050348262841253,0.5274858247725001,0.16634916703402122,0.014166226499209286,0.06475657070254989,0.05861964809829147,0.009458347483221882,4.5,8.0
15.625,0.33601412745728376,0.485016466172625,0.5931157857385375,0.22479392899242998,0.013387056544841439,0.06277892275481003,0.04743351468152259,0.011263644281148542,4.5,8.0
18.75,0.39670083594515004,0.5137410506159875,0.6451462184476251,0.295,0.017931144353994875,0.055350288036058126,0.03627436329530333,0.013080000000000003,4.5,8.0
21.875,0.4347476808775125,0.5532862110477125,0.6962490827731125,0.36850000000000005,0.01751368385590245,0.04377938283030227,0.029276848151909035,0.013985714285714285,4.5,8.0
25.0,0.456827588363175,0.592547991224475,0.7434789010569874,0.3995,0.0155932587278421,0.03502743823560008,0.026863777508634622,0.016437142857142855,4.5,8.0
28.125,0.506594249952925,0.6110836027256251,0.8042210291139499,0.422,0.015287142081852213,0.03106447304946211,0.02095992322345644,0.018005714285714288,4.5,8.0
31.25,0.5386394927536251,0.643002160024,0.8495692170148624,0.4375,0.012496194339423236,0.028290275467671662,0.016464760638560283,0.013014285714285718,4.5,8.0
34.375,0.5515,0.6669232065341875,0.8925183747412,0.42299999999999993,0.01244857142857143,0.02450491151948829,0.0119236009038181,0.015588571428571427,4.5,8.0
37.5,0.5730000000000001,0.6810526981618501,0.9251176470588252,0.43150000000000005,0.012331428571428571,0.0213452274618244,0.007351359367275154,0.016082857142857145,4.5,8.0
40.625,0.5875000000000001,0.6987227426870125,0.9415000000000001,0.42449999999999993,0.011859999999999999,0.019841730893464082,0.004671428571428569,0.016882857142857147,4.5,8.0
43.75,0.6035,0.71198549971215,0.9540000000000001,0.44000000000000006,0.01103142857142857,0.016236032076603506,0.003971428571428569,0.015142857142857147,4.5,8.0
46.875,0.5945,0.7212819836635249,0.967,0.4485,0.009602857142857146,0.015798594632057676,0.002022857142857143,0.013825714285714288,4.5,8.0
50.0,0.609,0.7336480437062625,0.9765,0.4494999999999999,0.010525714285714288,0.013516212681963874,0.0010657142857142862,0.01426571428571429,4.5,8.0
53.125,0.6195,0.7502602803534625,0.9795,0.45599999999999996,0.01162,0.013819381154451638,0.000802857142857143,0.01418857142857143,4.5,8.0
56.25,0.622,0.7607386680307375,0.9844999999999999,0.45,0.011708571428571428,0.012406703352269935,0.0006771428571428579,0.013537142857142862,4.5,8.0
59.375,0.6150000000000001,0.7728259221630124,0.986,0.4590000000000001,0.010982857142857145,0.011981502409736569,0.0006514285714285721,0.011382857142857148,4.5,8.0
62.5,0.6159999999999999,0.7872416023384124,0.9879999999999999,0.454,0.01001142857142857,0.011721473718432181,0.0005428571428571438,0.01294857142857143,4.5,8.0
65.625,0.625,0.7990650029636626,0.9880000000000001,0.4739999999999999,0.009285714285714283,0.011291591260087653,0.0005028571428571434,0.014245714285714287,4.5,8.0
68.75,0.611,0.8118999623565125,0.9890000000000001,0.46950000000000003,0.013794285714285714,0.009931061913381252,0.0005200000000000007,0.014437142857142857,4.5,8.0
71.875,0.6134999999999999,0.8282765033879373,0.9890000000000001,0.46749999999999997,0.012111428571428568,0.009215794119959035,0.0005657142857142864,0.012825714285714288,4.5,8.0
75.0,0.618,0.847152268021825,0.9905000000000002,0.45999999999999996,0.010885714285714285,0.008727301846951032,0.00047714285714285784,0.013554285714285718,4.5,8.0
78.125,0.6319999999999999,0.8619410055524124,0.9900000000000002,0.43950000000000006,0.012954285714285713,0.008705585510941001,0.0005314285714285719,0.012974285714285716,4.5,8.0
81.25,0.6365000000000001,0.8773878458498,0.99,0.4425,0.012922857142857139,0.008566944432820443,0.0005200000000000005,0.011620000000000002,4.5,8.0
