Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.096264880952375,0.04808502220332469,0.00125,0.00011666666666666668,0.0,0.0,0.091994047619025,0.01923363095236641
100,0.23669654997777,0.04683434533451149,0.028267976782639998,0.002070845884052427,0.00908534429214625,0.0006659991168763286,0.3116271662364501,0.026792087066449928
150,0.3401672209529856,0.033511505280657994,0.06779112051095937,0.0032239066477291038,0.030387845029205624,0.001954236173976877,0.4951904013115437,0.016995181564689498
200,0.40137839376172746,0.028683510053318033,0.10327643408182688,0.004545863971126303,0.05534227247718063,0.0021182006712452484,0.6020558390208001,0.00914568612139588
250,0.4468763593279569,0.024609615509125413,0.1429674514277156,0.004347419683842153,0.07724385267563813,0.0026183305089395497,0.6723635902298938,0.00586335485744689
300,0.4839524448860687,0.021312911690124385,0.17659133339636127,0.00440648996341147,0.0915674097470575,0.002670910398738185,0.7177894986420437,0.0042679889728089995
350,0.5147468897747001,0.019637549387904064,0.2109749495027169,0.004427451296291846,0.10972942842197,0.003085251746690848,0.7552583698332812,0.0029294379949873673
400,0.5393567413778563,0.01863382520821136,0.2479610716813481,0.005571193549437783,0.1318188305835694,0.003779027000547032,0.7824388734830687,0.0021471267817764427
450,0.5630306352842562,0.015649062967864648,0.2883584829673937,0.006363899697363127,0.160011369582505,0.004689683193584782,0.8046203306162125,0.0019085820280951183
500,0.5798190910827625,0.013476546299165736,0.3367238612029625,0.00732869576125387,0.18363829580745064,0.004810662084485947,0.8267818786067063,0.002374322296875882
550,0.5956564031926875,0.012437785625276157,0.37259574468085,0.007072750414969367,0.20612500000000006,0.005175500000000002,0.8566926383210063,0.0030660714591817487
600,0.6133573897400562,0.011798208417850422,0.408875,0.0074868333333333375,0.22625,0.0063956666666666676,0.8905785023910748,0.00404000094920504
650,0.6246085018293875,0.011197760168612904,0.4403750000000001,0.007870166666666682,0.23887500000000006,0.006310833333333332,0.9211572500927312,0.003010342228178461
700,0.6385099966144813,0.011258011196529888,0.462125,0.008092499999999999,0.257625,0.0062771666666666705,0.9469675362468,0.0021030754998524873
750,0.6539816712342125,0.011770762201404323,0.4825,0.008249999999999999,0.27475,0.006849666666666669,0.9619846745516376,0.0013534659811962274
800,0.6723873764143689,0.01192345349672335,0.5035000000000001,0.008179666666666663,0.289125,0.006522499999999995,0.9707785326086936,0.0010880106923444426
850,0.6916241531042625,0.011653096812975244,0.5231250000000001,0.007340833333333312,0.303625,0.006352833333333331,0.975875,0.0008418333333334024
900,0.7106645037020626,0.010981116086294715,0.535,0.0068720000000000005,0.31399999999999995,0.005683666666666651,0.98025,0.0005409999999998997
950,0.7237880985916499,0.01088689652396372,0.553625,0.0075601666666666794,0.3253750000000001,0.005959499999999998,0.983,0.0004303333333332777
1000,0.7398613350054688,0.010592307229599692,0.568125,0.007289500000000004,0.340375,0.007204499999999994,0.98375,0.0004409999999999906
1050,0.7495208333333312,0.010521347222222891,0.579625,0.007364166666666633,0.35487499999999994,0.008082166666666666,0.98475,0.00040466666666664727
1100,0.754875,0.010155166666666642,0.5893750000000001,0.006591166666666671,0.3655,0.007886666666666679,0.984625,0.00045350000000000295
1150,0.7602500000000001,0.010732666666666677,0.59275,0.006219333333333333,0.36975,0.0067569999999999965,0.983875,0.00043549999999996207
1200,0.767125,0.011306833333333313,0.602,0.0068243333333333454,0.3780000000000001,0.0071086666666666624,0.983875,0.0005045000000000381
1250,0.770125,0.01176816666666666,0.61525,0.006510666666666656,0.38675,0.007239666666666666,0.982625,0.0005875000000000222
1300,0.774125,0.01145049999999999,0.63175,0.007371333333333336,0.39075,0.007293666666666669,0.981875,0.0006455000000000174
1350,0.776125,0.011068833333333349,0.6393749999999999,0.007082166666666671,0.401375,0.007878500000000009,0.981125,0.0006578333333332983
1400,0.77525,0.011407666666666656,0.644375,0.006990500000000075,0.407,0.006736666666666663,0.9802499999999998,0.0006949999999999434
1450,0.777375,0.011196166666666632,0.65575,0.007488000000000014,0.408375,0.0064821666666666534,0.9795,0.0007790000000000199
1500,0.779375,0.01059949999999997,0.6613749999999999,0.008123500000000025,0.410875,0.006686833333333321,0.978125,0.0008468333333333906
1550,0.779,0.01098100000000001,0.667125,0.008127833333333357,0.4167500000000001,0.006412999999999999,0.97775,0.0008566666666666832
1600,0.778875,0.011256499999999978,0.671125,0.0081101666666667,0.4206250000000001,0.006572833333333336,0.976,0.0009393333333333825
1650,0.7777499999999999,0.012255333333333276,0.6725,0.007284333333333362,0.4215,0.007332999999999987,0.975125,0.0009188333333333293
1700,0.7758750000000001,0.012015499999999952,0.6759999999999999,0.007132666666666706,0.42575,0.007739333333333344,0.97425,0.0009809999999999756
1750,0.7769999999999999,0.012007000000000014,0.68075,0.006652666666666657,0.4245,0.007837333333333337,0.975,0.0009393333333332758
1800,0.7769999999999999,0.012138999999999931,0.6817500000000001,0.006137333333333342,0.42175,0.006823666666666668,0.974875,0.0008615000000000232
1850,0.7789999999999999,0.011699000000000018,0.6858749999999999,0.006266166666666688,0.428625,0.007490833333333327,0.97475,0.0009150000000000227
1900,0.7795000000000001,0.01118199999999997,0.691375,0.005870833333333341,0.427,0.009156333333333329,0.97625,0.000830666666666661
1950,0.78075,0.01156800000000002,0.697125,0.0061551666666666855,0.43325,0.00875033333333333,0.9756250000000002,0.0008961666666666326
