it,GG_mean,DG_mean,DG_CL_mean,CL_mean,GG_avar,DG_avar,DG_CL_avar,CL_avar,simulation,network_size
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,48.0
3.125,0.003264461233210625,0.10319993085616253,0.1293518518518375,0.0006060606060606249,0.00036831641438686194,0.0220602145683288,0.05522113786823004,9.893910087334018e-05,4.5,48.0
6.25,0.029551412195373543,0.33775828457347296,0.34990114630735025,0.0028402235825320836,0.002307016030940204,0.02849534985279909,0.06895009030468444,0.0002506467170081873,4.5,48.0
9.375,0.06556863165102458,0.5127140395685938,0.4973473415380333,0.007202657156306458,0.0034483313852420447,0.01646054862868639,0.049635093857359355,0.0004163777126338653,4.5,48.0
12.5,0.10348676024254022,0.6140829206287313,0.584903197604223,0.011656038107150208,0.004133490163577149,0.008044246816678658,0.03672516528794349,0.0005211552637053747,4.5,48.0
15.625,0.1328353844125904,0.6758498506685457,0.6547988432177438,0.016398900759381253,0.0039585198266196085,0.005413983976330512,0.025910291335978598,0.0006081931627526664,4.5,48.0
18.75,0.16082051023210103,0.7216958200450749,0.6996957292126291,0.02075046470827667,0.0040891950521187645,0.003541937024978334,0.02067729405295077,0.0006218679866923374,4.5,48.0
21.875,0.1865621809147639,0.7554400698464061,0.7353868781900584,0.025683598602514797,0.0040834839368328445,0.002642317155881769,0.016742524104930344,0.0006324574258606212,4.5,48.0
25.0,0.20706240939484663,0.781603611088902,0.7638312519411875,0.028378512667704376,0.0040497047719872436,0.0019467574398576559,0.013678992733673567,0.0006384373654818209,4.5,48.0
28.125,0.22667418651954147,0.803089289485075,0.7866241864829124,0.03174928534969292,0.0037794444395947723,0.001580144299331246,0.01152935466477192,0.0006287696344235124,4.5,48.0
31.25,0.24501820508931668,0.8207327110915521,0.8061030518868189,0.03463527354350625,0.0036301420434823504,0.001369935619639372,0.009380047533399088,0.0006002763520697195,4.5,48.0
34.375,0.2616912661480334,0.8351850910509272,0.8215449097606188,0.036103212934795834,0.0035401534078138433,0.0010876558750759044,0.007968879184780937,0.0005557806446012182,4.5,48.0
37.5,0.27711845892702913,0.8477385664271335,0.8349358855406335,0.039606558797478535,0.0033703531376998324,0.0008859551061318742,0.006861622866448971,0.0005530803517782459,4.5,48.0
40.625,0.2905956386333396,0.8579995967056749,0.8467146370660521,0.04221659004529042,0.003403124417204413,0.0007364927430838544,0.005852522306892724,0.0005778096104083457,4.5,48.0
43.75,0.30340971676877293,0.8673760319348875,0.8570400215470813,0.045697725891162715,0.003475029265155577,0.0006249106779459531,0.005106232865440966,0.0005965738556504123,4.5,48.0
46.875,0.31263025244195836,0.8755840808616646,0.865724479521402,0.04817371049140571,0.003317545987201048,0.0005496798819658932,0.004540709025826524,0.0005883973892477,4.5,48.0
50.0,0.3229806427306417,0.8827981352064167,0.873712398002225,0.05022638640286704,0.0032682880527288355,0.00046170354753717125,0.004069071125917633,0.0005752363446321813,4.5,48.0
53.125,0.3334443486938396,0.8891101571121125,0.8807498825694499,0.05324163349533913,0.003128952274529969,0.0004124066297843842,0.0036247787868237784,0.0005770385380829491,4.5,48.0
56.25,0.3431023662996583,0.8946804893346499,0.8870821484423083,0.05499453320020671,0.0029673681598602632,0.0003661399955878578,0.0032394296467458173,0.0005764650790926601,4.5,48.0
59.375,0.351214613858075,0.8998588116425437,0.8928621760734854,0.05759947419826854,0.002934787552304544,0.00032433413755113494,0.0029373846654422065,0.0005812807595292852,4.5,48.0
62.5,0.3598782825341229,0.9044984374919605,0.898050261652573,0.060112070113348084,0.0028889727679924774,0.0002902844455722921,0.0026706990860787426,0.0005835773036994422,4.5,48.0
65.625,0.36918611727590833,0.9087506246666541,0.9024839723797126,0.061969294683309264,0.002923283417484213,0.0002637505313340547,0.0024266540766541157,0.000595675253366513,4.5,48.0
68.75,0.37965413677239584,0.9125181362726981,0.9066838960783375,0.06382250038383461,0.0030344421418331937,0.000235787072380757,0.0022280031930478283,0.0005814002225968966,4.5,48.0
71.875,0.3896496085457334,0.9160434357097229,0.9105329276762102,0.06687937684629627,0.0032261326030836256,0.00021656246588201152,0.002054006929685076,0.0005703487095596089,4.5,48.0
75.0,0.40199757165369165,0.9192550295949353,0.9139912407782977,0.06947358493128229,0.0036801937593291248,0.00019913382141455014,0.00187949813790379,0.0005695898269529938,4.5,48.0
78.125,0.41674258245990004,0.9222391022050539,0.9173076315024437,0.07240439507040146,0.00389449963337538,0.00018507297918119177,0.0017419720806157112,0.0005905500321177407,4.5,48.0
81.25,0.4325311585314896,0.9249650171155167,0.9204786678638499,0.0761664384525171,0.004034683766882839,0.00017273208628765282,0.0016071626970288774,0.0006227557754900305,4.5,48.0
84.375,0.44874715516472297,0.9275081262908959,0.9232900681194272,0.07958266718586565,0.003984103781726284,0.00016009660779685587,0.0015079760879250516,0.0006178072170064156,4.5,48.0
87.5,0.4636547847130917,0.9298743955053521,0.9259313653266709,0.08244195117045607,0.0037914040725826837,0.00014852824643575829,0.001417440443063187,0.0006539220608261403,4.5,48.0
90.625,0.4773956954955791,0.932190036344327,0.9283686733752103,0.08572373127655294,0.003572846619481807,0.00014204014111940256,0.0013315623207772122,0.0006657676546222097,4.5,48.0
93.75,0.48961595824012505,0.9345517188477146,0.930671225189202,0.08888690476192064,0.0034119352412390795,0.0001477792278119573,0.0012489563040585297,0.0006717521027329724,4.5,48.0
96.875,0.500388888888875,0.9373476666916541,0.9327859001219979,0.09255780780780419,0.0031573916469673966,0.00016886551150508834,0.0011765481745436273,0.0006859592427382289,4.5,48.0
100.0,0.5099305555555562,0.9406509675815083,0.934902038772031,0.09486111111111377,0.0030634732072489243,0.00022322001808069907,0.0010962506648947098,0.0007282702915679974,4.5,48.0
103.125,0.517625,0.9448673380726291,0.9368145303636812,0.09722222222222773,0.0029981107170995664,0.00029947870378538055,0.0010378115660283711,0.0007302915681636743,4.5,48.0
106.25,0.5263611111111312,0.9500141505057936,0.9386463678602436,0.09976388888888502,0.0029385776201735483,0.0003778274003969579,0.000977350669172837,0.0007709397163116673,4.5,48.0
109.375,0.5339305555555313,0.9555046607917873,0.9403816555151374,0.10201388888890459,0.002891207643814894,0.00043418923266084727,0.0009254446978187782,0.0007529531126874965,4.5,48.0
112.5,0.5413472222222354,0.962083525177008,0.94195359134785,0.10368055555557816,0.0028895764381415704,0.0004614741064649719,0.0008821353621334621,0.0007575551615444473,4.5,48.0
115.625,0.5486666666666541,0.968597408563981,0.9433887273718957,0.1067361111111194,0.0028333924349859966,0.00045468506121804363,0.000840800474215401,0.0007704156816390852,4.5,48.0
118.75,0.555944444444427,0.9741218818654724,0.9447921213393332,0.1092916666666875,0.002921016548463886,0.00039699264436809706,0.0008063524570583477,0.0007993715524037329,4.5,48.0
121.875,0.5635416666666563,0.979365335893629,0.9461322374819938,0.1104305555555644,0.0028884062253762793,0.00031960053463688843,0.000768405578310919,0.000797389676910069,4.5,48.0
125.0,0.5700277777777769,0.9836516454630162,0.9475356582793939,0.11236111111111771,0.0029104649330179587,0.00023099803425833827,0.0007341253455396187,0.0008220212765958895,4.5,48.0
128.125,0.5761944444444542,0.9869166586646516,0.9490293654858499,0.11408333333334335,0.0031188297872336078,0.00016445039315272222,0.0007119765212724823,0.0008459574468084472,4.5,48.0
131.25,0.5824166666666646,0.9894467803257181,0.9504311846138833,0.11548611111111709,0.0031044996059897243,0.00011071266720619984,0.0006854870536860245,0.0008717198581558904,4.5,48.0
134.375,0.588263888888902,0.9912715517240805,0.9520018731427939,0.11755555555556399,0.003058020094563361,7.726758502570096e-05,0.0006715509791800175,0.0008662056737593377,4.5,48.0
137.5,0.5929722222222373,0.9924432326621243,0.9540879543652249,0.11872222222223253,0.0030221434200173097,7.110395560709153e-05,0.0006502020035347444,0.0009129275019696374,4.5,48.0
140.625,0.5994027777777748,0.9935416666666057,0.9566238194499521,0.12018055555554648,0.003057019306541695,6.47182821115405e-05,0.0006388127155551116,0.000894284869975652,4.5,48.0
143.75,0.6047638888888894,0.9942916666666036,0.9596399482777436,0.12108333333332584,0.003056388888889627,5.945429471994045e-05,0.0006371154665241054,0.0008829472025206746,4.5,48.0
146.875,0.6104027777777896,0.9950416666665912,0.9634680972414728,0.12286111111109377,0.0030441390858948845,5.108944050431065e-05,0.0006331204659463541,0.0009110323089033459,4.5,48.0
150.0,0.6165138888889082,0.9951388888888225,0.967371226485733,0.1249444444444519,0.0029394739952729046,6.0866824270935764e-05,0.000629261543764421,0.0009122025216697614,4.5,48.0
153.125,0.6223472222222124,0.9954166666666057,0.9712445223307684,0.1265138888889002,0.0030506796690338346,6.180851063833336e-05,0.0006112302296542294,0.0009236623325446803,4.5,48.0
156.25,0.627583333333329,0.9956805555554851,0.9748980362004478,0.12794444444446063,0.0030144759653260703,6.367021276628151e-05,0.0005616543936867278,0.000904598108746938,4.5,48.0
159.375,0.6328194444444458,0.9958055555554892,0.9785367905715561,0.1293888888889004,0.0030648916469667225,7.0232466509335e-05,0.00047804886190388465,0.0009579393223001357,4.5,48.0
162.5,0.6383888888888813,0.9957777777777185,0.9820919345240557,0.1305416666666902,0.0031162726556349827,7.616233254555287e-05,0.0004070367158320014,0.0009318026004732033,4.5,48.0
165.625,0.6441944444444437,0.9956527777777205,0.9851791178473353,0.1318333333333233,0.002997903861308547,8.501773049652013e-05,0.00032765961864727707,0.0009434830575256317,4.5,48.0
168.75,0.6494583333333291,0.9955972222221726,0.987701045316237,0.13341666666668667,0.00306279550827199,8.999408983442625e-05,0.00025133046382056645,0.0009915169424748258,4.5,48.0
171.875,0.6553749999999938,0.9954027777777247,0.9895399918167913,0.1352916666666777,0.0031525394011051667,0.00010135342789608871,0.00020377749026931295,0.0009805102442874544,4.5,48.0
175.0,0.6617083333333291,0.9953194444443956,0.990955700587435,0.1367777777777698,0.0030627836879432617,0.00011078605200943855,0.0001724992291960092,0.0009849842395579164,4.5,48.0
178.125,0.6675416666666708,0.9951666666666166,0.9918535944349077,0.13779166666667564,0.0030859397163116543,0.00011967297084325497,0.0001606603008547756,0.000988804176516052,4.5,48.0
181.25,0.6718194444444292,0.9949999999999541,0.9925829579578911,0.13948611111113768,0.003124986209613846,0.0001241528762802922,0.00015012423435481863,0.0009793163908589134,4.5,48.0
184.375,0.6769166666666834,0.9947777777777311,0.9929861111110474,0.14134722222224064,0.002960752561069606,0.00013532308904609961,0.00014831560283660468,0.0009837884160755006,4.5,48.0
187.5,0.6815833333333459,0.9944861111110624,0.9932777777777269,0.14262500000001105,0.0029387391646967507,0.00015067966903075297,0.0001468124507481296,0.0010038081166272932,4.5,48.0
190.625,0.6860416666666751,0.9942777777777311,0.9935138888888414,0.14376388888889896,0.0029021690307350486,0.00016306146572119565,0.000145297478329086,0.0009897143420018737,4.5,48.0
193.75,0.6900555555555646,0.9940277777777373,0.9935972222221787,0.14568055555556084,0.002861233254530989,0.00017119385342796573,0.0001448640661934001,0.0010087884160746275,4.5,48.0
196.875,0.6946805555555751,0.9937499999999622,0.9936111111110645,0.1459027777777823,0.0028247064617795423,0.00018191095350682292,0.00014877462568919437,0.001009213947989676,4.5,48.0
200.0,0.6995277777777791,0.993472222222181,0.9935416666666331,0.14673611111111395,0.0027527501970063405,0.00019403467297107995,0.0001542178881003251,0.0010016765169415195,4.5,48.0
203.125,0.7045416666666625,0.9932361111110769,0.9933472222221894,0.14819444444444876,0.0027210382190710238,0.00021306343577606816,0.00016854018912512526,0.0009707959022851895,4.5,48.0
206.25,0.7086388888888833,0.9929444444444122,0.9931666666666269,0.14930555555557584,0.0027363120567387815,0.0002239795114256048,0.00018100472813222047,0.0009566745468878292,4.5,48.0
209.375,0.7133194444444564,0.9925972222221852,0.9930694444444017,0.15065277777778294,0.0027357939322306493,0.0002382013396370401,0.00018849290780119325,0.0009621335697399458,4.5,48.0
212.5,0.7175555555555626,0.9921249999999665,0.9928611111110642,0.15161111111111877,0.0026223325453118033,0.0002616568163900729,0.00019686367218280112,0.0009514105594938902,4.5,48.0
215.625,0.7208888888888791,0.9918472222221915,0.9927638888888414,0.15331944444445894,0.0025525216706057856,0.0002762549251367,0.00019870173364843483,0.0009433234830568422,4.5,48.0
218.75,0.723958333333348,0.9914444444444144,0.9926249999999539,0.15440277777778372,0.0025099034672958253,0.0002959495665867918,0.000207113869187951,0.000942929472025241,4.5,48.0
221.875,0.7259861111111042,0.991138888888862,0.9923055555555059,0.15530555555556771,0.0025667750197001233,0.00030928684003042703,0.00021915287628061493,0.000955287628052513,4.5,48.0
225.0,0.728069444444452,0.9907916666666436,0.9919861111110622,0.15583333333335148,0.0025213849487781344,0.0003206087470439776,0.00022455279747846018,0.000883896769109629,4.5,48.0
228.125,0.7310694444444521,0.990333333333304,0.9917222222221748,0.15645833333332645,0.00250328802206324,0.00033734436564186596,0.00023149724192285674,0.0009345882584723151,4.5,48.0
231.25,0.7330138888889042,0.9899166666666395,0.9913055555555081,0.15745833333333417,0.002467933412137811,0.00035613081166215694,0.00024245468873104167,0.0009308057525610248,4.5,48.0
234.375,0.735249999999996,0.989611111111083,0.9910555555555185,0.15815277777776207,0.002440374310480484,0.0003681126871544158,0.0002564814814809776,0.0009772793538215918,4.5,48.0
237.5,0.736569444444471,0.9891805555555291,0.9906527777777351,0.15845833333334539,0.0024012470449172874,0.0003752383766734434,0.0002693045705276835,0.0010120350669807865,4.5,48.0
240.625,0.7387361111111083,0.9887083333332998,0.9902916666666206,0.16005555555557124,0.002398485027581795,0.00038727935382103565,0.000278808116626587,0.0010227895981093922,4.5,48.0
243.75,0.7406111111110999,0.9882499999999623,0.9899166666666165,0.16106944444444102,0.0024280181245071083,0.00039760047281222743,0.0002933451536640695,0.0010334968479119634,4.5,48.0
246.875,0.7422222222222189,0.9878333333333101,0.9895694444443913,0.16277777777776917,0.0023901418439739156,0.00041107565011665284,0.00030280732860525357,0.0010452482269506674,4.5,48.0
250.0,0.7431111111111125,0.9874305555555247,0.9889999999999478,0.1632638888888865,0.002328293932231757,0.00042828014184313165,0.00032611899133216173,0.001035782111898031,4.5,48.0
253.125,0.7442361111111251,0.9869861111110749,0.9885277777777185,0.16380555555553916,0.00234618794326082,0.00043472616233211826,0.0003309692671397368,0.0010512568951941154,4.5,48.0
256.25,0.7459305555555668,0.9866388888888539,0.9879999999999434,0.1648055555555325,0.0023707308904663124,0.0004368006304171059,0.0003444759653272524,0.0010388140267926435,4.5,48.0
259.375,0.7479722222222396,0.986305555555529,0.9876249999999412,0.16518055555557082,0.002439531126873758,0.00044337667454643416,0.0003525157604413132,0.001037220252168692,4.5,48.0
262.5,0.7480833333333397,0.9859583333333124,0.9873194444443915,0.1662083333333221,0.002561193853427385,0.00044729905437303685,0.00035809889676870394,0.00103196414499533,4.5,48.0
265.625,0.749347222222229,0.9857777777777581,0.9868472222221664,0.16668055555555417,0.0024661918833726237,0.0004464736012604059,0.00037671197793507917,0.001077964933019542,4.5,48.0
268.75,0.7510833333333311,0.9854305555555415,0.9865416666666142,0.1676527777777667,0.002412375886523426,0.0004502265563426408,0.00038730693459372025,0.0010688278171789255,4.5,48.0
271.875,0.7513888888888769,0.9849583333333207,0.9860694444443997,0.16809722222222,0.0023622301024438705,0.0004629964538997703,0.00040229511426226317,0.001123130417651353,4.5,48.0
