,,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
max_avg_bet,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_avg_bet,50,0.0774255952380875,0.03330896990740425,0.0015178571428562501,0.00017814625850315824,0.00229166666666875,0.00039583333333397235,0.08586309523806876,0.016525273998472582
max_avg_bet,100,0.22980847277715624,0.04816197083650453,0.03577852471960687,0.003086217962892462,0.01689866465770375,0.0015843678534540287,0.3469875523781,0.02437615663941197
max_avg_bet,150,0.32362048769937063,0.03599669855034747,0.06529012948018188,0.003951189370232057,0.04057827962087,0.001892844684438207,0.5187509275693876,0.014345089640935116
max_avg_bet,200,0.3878178010714369,0.031692758634993386,0.11190448754968,0.005217907660428181,0.06902964802220313,0.003085088864956171,0.617267781342975,0.007831425493840256
max_avg_bet,250,0.43650826859592307,0.02551132573956761,0.15081396152373752,0.005154392168646336,0.09305376182838875,0.0038105305443272572,0.6793681778489751,0.004701004002716727
max_avg_bet,300,0.4751823951319832,0.02186207923670492,0.18192580259303875,0.005328784664172248,0.11293477681127875,0.0037565367270558313,0.72364288260505,0.003690462231780487
max_avg_bet,350,0.5066684561122813,0.017631754370447797,0.21153615481791874,0.005718870311826089,0.13259790132544125,0.0031765066634462146,0.7575142966772875,0.0028304280004608274
max_avg_bet,400,0.5277111349126062,0.016247586589801473,0.24680406582193623,0.007692290103370823,0.15308029669014686,0.003253036473254701,0.7862915699089312,0.002068145662553675
max_avg_bet,450,0.5486314726349375,0.015773226206452114,0.2890320000427419,0.008714599771530013,0.17684995417299937,0.0034824440505614772,0.8101116436062499,0.001959373416301631
max_avg_bet,500,0.567088603803275,0.015571593649683394,0.34431885267405,0.008784923960472415,0.2085358474217625,0.0044931920716133646,0.8305235019270313,0.0020665986846288694
max_avg_bet,550,0.5869084605398375,0.014368733355587828,0.3927857142857126,0.009000918367347496,0.232875,0.005076166666666665,0.8570547929673937,0.002819248375625646
max_avg_bet,600,0.6005986990457,0.014419161033546745,0.43137500000000006,0.008198500000000006,0.26375000000000004,0.005686333333333331,0.8875860387643186,0.0032219348255081806
max_avg_bet,650,0.6174778045923375,0.013392919868462356,0.46362500000000006,0.008573833333333324,0.280625,0.005727500000000001,0.9160229068079312,0.002762782452615689
max_avg_bet,700,0.6348196522001187,0.01321578688702676,0.48850000000000005,0.007646,0.300125,0.005593166666666661,0.9424323891364874,0.002083717763471533
max_avg_bet,750,0.6502722644132,0.013104305713236642,0.5116250000000001,0.007435499999999975,0.315625,0.005118833333333339,0.9596905824829935,0.0012077678184582413
max_avg_bet,800,0.6693918809243813,0.013239912080315521,0.5365,0.007268333333333282,0.330375,0.005464166666666676,0.9707500000000001,0.0008339999999999511
max_avg_bet,850,0.6892227737173062,0.013094047846627396,0.558625,0.007521833333333306,0.33862499999999995,0.005566499999999997,0.9793749999999999,0.0004671666666667207
max_avg_bet,900,0.710230617412725,0.013342819568617081,0.5796250000000001,0.007657166666666666,0.341625,0.0066168333333333305,0.9827499999999999,0.0003779999999999716
max_avg_bet,950,0.7249306263025563,0.012903709839168784,0.5855,0.007424999999999955,0.356625,0.007203166666666668,0.9826250000000002,0.0003984999999999536
max_avg_bet,1000,0.7365129993486751,0.012376479648690309,0.597875,0.007350166666666644,0.364375,0.007258833333333337,0.98375,0.00042099999999996627
max_avg_bet,1050,0.745951530612244,0.012114110578925726,0.614875,0.008666499999999994,0.37224999999999997,0.00653133333333334,0.984875,0.0004584999999999913
max_avg_bet,1100,0.757,0.012227666666666675,0.63275,0.006996333333333387,0.37725,0.006406666666666662,0.9845,0.0005306666666666733
max_avg_bet,1150,0.76225,0.012068000000000035,0.6481250000000001,0.006599166666666665,0.387625,0.006129166666666661,0.984625,0.0005801666666666823
