Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.12287202380951875,0.061745094009830165,0.027674107142850003,0.008164175524371809,0.012606872294375626,0.0035503483934905843,0.104736217593625,0.04177614749929949
100,0.30403447247194626,0.06933105438819501,0.07751216144963999,0.011470979571694531,0.03744608532334938,0.004741591457791421,0.24831340187585624,0.05710609830241425
150,0.43601694460291257,0.056941540231840476,0.1299048067944775,0.01411036041375443,0.053372860550935,0.004544309202275058,0.40057896617262506,0.04334636803928599
200,0.539228437492125,0.04377706574714852,0.18580657856417626,0.013622390858032222,0.07949293823290937,0.0054782952358173155,0.4957673043867125,0.030089346489137737
250,0.6064664694005937,0.03434165225132045,0.2315593734043075,0.014075758702852822,0.10009551500012,0.005700376676551037,0.5619061931897751,0.02125446987760285
300,0.6538930261458563,0.027661372044138068,0.2573571263204143,0.012719566192555343,0.12375889854227876,0.006238645128147298,0.6156039849822813,0.016762352872187785
350,0.6915899170657688,0.023270474948620758,0.2914134411875894,0.013007887593551265,0.14489894017633126,0.006410749905252042,0.657742496354625,0.01327877208018333
400,0.7201203279444937,0.018773606606535227,0.33153219325191496,0.014767540208681445,0.1654405352832094,0.006320854624942508,0.6903662963889439,0.012073470516806387
450,0.7443450758358313,0.015778542003549344,0.3598779968446,0.013181210392660377,0.19257009310586498,0.007404511514416648,0.7188095218345251,0.009684227030678607
500,0.7648183469059813,0.013581899727836758,0.3855460194532125,0.01238635802148445,0.22092130886041872,0.008819767132477166,0.74082162311655,0.0071900956804120605
550,0.7830334857910876,0.011754216892240509,0.4054172202885562,0.011114923502300237,0.2524499362244875,0.010381787925821196,0.7583801281856437,0.0058525067146931314
600,0.7971156332352063,0.010401783411608688,0.4204493353051312,0.01031858558975729,0.28287500000000004,0.011313166666666666,0.7750071501731999,0.0051722447712840855
