Iteration,DG_CLA_mean,DG_CLA_var,CSA_mean,CSA_var,CLA_mean,CLA_var,DSA_mean,DSA_var
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.16671130952379376,0.061365147864698925,0.0018750000000000004,0.0002958333333333334,0.0,0.0,0.09623511904760002,0.020488587726743963
100,0.3542326943889319,0.06804283024166329,0.006373449919644375,0.0006169602974481098,0.011279290052264999,0.0010633789277870137,0.3650545981795438,0.026396961072668555
150,0.5042117344461018,0.045627547067046616,0.02333701416893625,0.0013729774881594838,0.02620458955397,0.0012002675802279348,0.5396587963277251,0.012476353025890058
200,0.5994973968401688,0.03145992860954037,0.04021804908141188,0.0013740633779333628,0.037809955445355,0.0016673774544149918,0.6460206400960813,0.006651048862324528
250,0.6588173896540688,0.024395712585851,0.06932624197972374,0.001868322425381769,0.055956643170859376,0.001924482501679461,0.7087700095328687,0.00391997084048277
300,0.7034900340358937,0.018845670975261263,0.095239905889505,0.0021446385350525872,0.07841311183388938,0.002288941273690496,0.7485959648365063,0.0027641901980598148
350,0.7376338158583249,0.014958194224390313,0.11235224391373813,0.002563645656235008,0.09379537833089564,0.002216613115295236,0.7804476142085499,0.00232187995268518
400,0.7637007686499188,0.012292487767640642,0.1358790358355069,0.003212806598304495,0.11306908578163935,0.0026707649640644237,0.8036403859170624,0.0019123296823880405
450,0.7842891035953125,0.010647578205070072,0.17266443793625938,0.004290643865672565,0.14042642438976874,0.0035759086845458506,0.8254052555758313,0.0020877899033815935
500,0.8028223014024749,0.00894275813583435,0.20534971329535,0.005057108860551275,0.16672800813990624,0.004287904960343815,0.8581955518801937,0.0028127860156345248
550,0.8172648979121687,0.0075771706284425465,0.24081207482993125,0.0057235779767690525,0.20247282608695624,0.004280886263390035,0.8956052064761938,0.003120215833792723
600,0.8317893293992062,0.006559858832153568,0.271,0.005467333333333331,0.231875,0.005027500000000005,0.9271743679832,0.0024217616110010693
650,0.8443194808928313,0.0058814155303491935,0.299875,0.00577383333333333,0.264,0.005097666666666671,0.9479139433756938,0.0014760127628469987
700,0.8565632819890998,0.005500073969603132,0.32625,0.006658000000000004,0.281625,0.0046705000000000045,0.9609130434782622,0.0010034417139252482
750,0.8735012289250624,0.005144932500955204,0.3452500000000001,0.005825333333333322,0.3005,0.005634333333333333,0.9695,0.0007010000000000006
800,0.8932133392098939,0.004935426084225652,0.368375,0.005513166666666652,0.32475000000000004,0.005464666666666659,0.973625,0.0006214999999999902
850,0.9114409893473626,0.004603303387705904,0.376875,0.005696166666666672,0.343,0.0061226666666666756,0.977625,0.00047583333333335527
900,0.925631819426275,0.003754360889048674,0.40025,0.006312666666666654,0.364125,0.006135166666666671,0.979875,0.0004761666666667115
950,0.9358872283657751,0.002951084282474513,0.418125,0.006217500000000004,0.382375,0.006741833333333347,0.982375,0.000424500000000035
1000,0.94589280937145,0.002411868825692321,0.43625,0.006361999999999997,0.4002500000000001,0.006648999999999998,0.982375,0.0004411666666666629
1050,0.9518507923463124,0.0020631510774353377,0.4522500000000001,0.0067853333333333455,0.425125,0.006443499999999995,0.983,0.0004516666666666917
1100,0.95898469387755,0.0016264388449258981,0.47275,0.007016999999999996,0.441,0.006550666666666665,0.9825,0.000510666666666637
1150,0.963,0.0013869999999999768,0.4875,0.007688333333333336,0.465125,0.007051833333333334,0.98175,0.0005073333333333826
1200,0.96525,0.0013246666666666587,0.507125,0.00737483333333333,0.4728750000000001,0.007562833333333322,0.980375,0.0005698333333333495
1250,0.966125,0.0013768333333333633,0.522875,0.007611833333333325,0.489125,0.006818166666666665,0.97925,0.000622333333333304
1300,0.9672500000000002,0.0012983333333333865,0.5341250000000001,0.007308499999999982,0.4982500000000001,0.00700733333333335,0.97775,0.0006686666666666596
1350,0.965625,0.0014731666666666734,0.54375,0.0074929999999999814,0.504625,0.006938500000000032,0.977125,0.0007204999999999847
1400,0.966,0.0014583333333333095,0.55475,0.006424333333333342,0.5113749999999999,0.007575166666666661,0.975625,0.0007875000000000653
1450,0.96425,0.001675333333333313,0.55975,0.006642666666666693,0.516,0.007007333333333329,0.97475,0.0008393333333333668
1500,0.964125,0.0016751666666666766,0.5683750000000001,0.006463833333333338,0.5213749999999999,0.0067868333333333366,0.975,0.0009340000000000377
1550,0.9645,0.001702000000000048,0.5774999999999999,0.006108666666666682,0.5295,0.006237666666666635,0.9735,0.0009986666666667078
1600,0.96375,0.001703000000000034,0.585375,0.00633850000000004,0.5343749999999999,0.006247833333333311,0.97275,0.0010830000000000457
1650,0.963625,0.0016285000000000002,0.586625,0.006776499999999958,0.538375,0.006306833333333342,0.9732499999999998,0.0010380000000000202
1700,0.96375,0.0014390000000000095,0.591125,0.0066541666666667075,0.5475,0.006947666666666652,0.97225,0.0009686666666666355
1750,0.962625,0.0014085000000000393,0.592875,0.006415833333333296,0.54775,0.007102333333333337,0.972125,0.0008798333333333611
1800,0.962375,0.0013741666666667385,0.5963750000000001,0.006692166666666666,0.5542499999999999,0.0063916666666666904,0.971375,0.0008571666666666527
1850,0.96325,0.0013180000000000073,0.604375,0.006570833333333313,0.56175,0.006331999999999944,0.973125,0.000762833333333326
1900,0.96325,0.0012690000000000266,0.6064999999999999,0.006140999999999982,0.569125,0.006697500000000016,0.972875,0.0007351666666666647
1950,0.962625,0.0013205000000000313,0.609625,0.006302500000000008,0.5742499999999999,0.006550333333333344,0.9740000000000001,0.0006953333333333472
2000,0.962125,0.0013298333333333664,0.6144999999999999,0.006464333333333343,0.5843750000000001,0.006486166666666638,0.97575,0.0006606666666666191
2050,0.962625,0.0012454999999999927,0.61975,0.006661333333333334,0.58375,0.00680166666666666,0.9755,0.0006919999999999977
2100,0.96275,0.0012353333333333554,0.62375,0.006555000000000024,0.58825,0.006332666666666676,0.976125,0.0006631666666666309
2150,0.961625,0.0013855000000000336,0.6305000000000001,0.0067053333333333435,0.5901249999999999,0.006925166666666664,0.976375,0.000657833333333322
2200,0.962375,0.0013918333333333755,0.6376250000000001,0.006506499999999976,0.596,0.007218333333333297,0.977,0.0006620000000000084
2250,0.96225,0.0013486666666666855,0.6413749999999999,0.006773166666666679,0.5996249999999999,0.007426833333333331,0.977375,0.0006941666666666418
2300,0.9626249999999998,0.0014471666666666866,0.64875,0.006951333333333346,0.59975,0.006845333333333327,0.9775,0.0007396666666667193
2350,0.9638749999999998,0.0014275000000000069,0.65075,0.007223000000000011,0.602,0.006850000000000023,0.97675,0.0007293333333333508
2400,0.964625,0.0014228333333333627,0.64275,0.006932000000000033,0.6023750000000001,0.007121166666666667,0.976125,0.0007954999999999875
2450,0.96275,0.0014806666666666265,0.6475,0.006732000000000055,0.6055,0.006805333333333353,0.97675,0.0007146666666666236
2500,0.9620000000000001,0.0015470000000000065,0.649125,0.0067938333333333635,0.6065,0.006688333333333389,0.976375,0.0007378333333332777
2550,0.9615,0.0015603333333333914,0.6435,0.006602000000000025,0.608,0.006518000000000015,0.976625,0.0007458333333333892
2600,0.960875,0.0015758333333333375,0.645125,0.005721500000000013,0.611125,0.0061378333333333285,0.976875,0.0007588333333333945
2650,0.961375,0.0014991666666666725,0.64125,0.0060003333333333705,0.6105,0.0066863333333333245,0.976375,0.0007611666666666987
2700,0.960125,0.001510166666666753,0.645125,0.006416500000000003,0.607,0.006098666666666676,0.976625,0.000761166666666675
2750,0.960375,0.0014855000000000256,0.6455,0.006454333333333337,0.6051249999999999,0.006791166666666673,0.9756250000000002,0.0007768333333332933
2800,0.960625,0.0014308333333332966,0.644375,0.0068095,0.60575,0.006383666666666693,0.975,0.0008093333333333419
2850,0.96075,0.0013710000000000378,0.647875,0.006960499999999996,0.60775,0.006310666666666691,0.974,0.0008680000000000612
2900,0.961625,0.0012838333333333553,0.646125,0.007100166666666663,0.61025,0.005669333333333349,0.9728749999999998,0.0009801666666666977
2950,0.9620000000000001,0.0012226666666666829,0.645875,0.006802833333333378,0.6172500000000001,0.005815666666666679,0.974125,0.0009484999999999981
3000,0.962375,0.0012491666666666508,0.6446250000000001,0.00641383333333335,0.621625,0.005053833333333356,0.974125,0.0008984999999999842
3050,0.96225,0.0012253333333333198,0.645375,0.006559833333333334,0.6168750000000001,0.005417499999999998,0.9735,0.0008853333333333541
3100,0.96225,0.0012113333333333405,0.6511250000000001,0.0070145000000000025,0.6126250000000001,0.005081499999999994,0.972125,0.0009478333333333683
3150,0.962125,0.0011905000000000494,0.655875,0.006688833333333364,0.6128750000000001,0.0057381666666666865,0.972,0.0009453333333333568
3200,0.9625,0.0011433333333333332,0.6597500000000001,0.0061096666666667155,0.6133750000000001,0.00564849999999997,0.972375,0.000929833333333375
